Place_ID X Date,target
0OS9LVX X 2020-01-02,44.428190
0OS9LVX X 2020-01-03,38.407011
0OS9LVX X 2020-01-04,32.163006
0OS9LVX X 2020-01-05,29.670440
0OS9LVX X 2020-01-06,36.752275
0OS9LVX X 2020-01-07,35.562475
0OS9LVX X 2020-01-08,40.391610
0OS9LVX X 2020-01-09,36.987014
0OS9LVX X 2020-01-10,40.978219
0OS9LVX X 2020-01-11,44.929020
0OS9LVX X 2020-01-12,46.621917
0OS9LVX X 2020-01-13,48.849460
0OS9LVX X 2020-01-14,44.935505
0OS9LVX X 2020-01-15,50.018761
0OS9LVX X 2020-01-16,43.178989
0OS9LVX X 2020-01-17,47.490620
0OS9LVX X 2020-01-18,48.479392
0OS9LVX X 2020-01-19,38.977152
0OS9LVX X 2020-01-20,41.661761
0OS9LVX X 2020-01-21,31.944484
0OS9LVX X 2020-01-22,37.264123
0OS9LVX X 2020-01-23,26.870093
0OS9LVX X 2020-01-24,23.548457
0OS9LVX X 2020-01-25,35.470319
0OS9LVX X 2020-01-26,26.600323
0OS9LVX X 2020-01-27,28.901533
0OS9LVX X 2020-01-28,27.980533
0OS9LVX X 2020-01-29,30.716966
0OS9LVX X 2020-01-30,37.207657
0OS9LVX X 2020-01-31,43.421126
0OS9LVX X 2020-02-01,41.000237
0OS9LVX X 2020-02-02,42.771704
0OS9LVX X 2020-02-03,40.574971
0OS9LVX X 2020-02-04,42.143202
0OS9LVX X 2020-02-05,39.148019
0OS9LVX X 2020-02-06,33.399539
0OS9LVX X 2020-02-07,36.396643
0OS9LVX X 2020-02-08,45.470396
0OS9LVX X 2020-02-09,43.965183
0OS9LVX X 2020-02-10,41.249090
0OS9LVX X 2020-02-11,40.083863
0OS9LVX X 2020-02-12,37.393909
0OS9LVX X 2020-02-13,33.738181
0OS9LVX X 2020-02-14,28.992719
0OS9LVX X 2020-02-15,25.410606
0OS9LVX X 2020-02-16,28.330168
0OS9LVX X 2020-02-17,30.219608
0OS9LVX X 2020-02-18,37.423550
0OS9LVX X 2020-02-19,37.983365
0OS9LVX X 2020-02-20,44.711938
0OS9LVX X 2020-02-21,30.682869
0OS9LVX X 2020-02-22,37.640597
0OS9LVX X 2020-02-23,27.702519
0OS9LVX X 2020-02-24,26.555678
0OS9LVX X 2020-02-25,28.068194
0OS9LVX X 2020-02-26,30.042386
0OS9LVX X 2020-02-27,30.480013
0OS9LVX X 2020-02-28,39.415218
0OS9LVX X 2020-02-29,30.071241
0OS9LVX X 2020-03-01,34.407112
0OS9LVX X 2020-03-02,31.863642
0OS9LVX X 2020-03-03,40.290313
0OS9LVX X 2020-03-04,49.935878
0OS9LVX X 2020-03-05,48.598644
0OS9LVX X 2020-03-06,40.041938
0OS9LVX X 2020-03-07,40.396426
0OS9LVX X 2020-03-08,38.234397
0OS9LVX X 2020-03-09,32.717536
0OS9LVX X 2020-03-10,28.973423
0OS9LVX X 2020-03-11,34.562380
0OS9LVX X 2020-03-12,33.721755
0OS9LVX X 2020-03-13,40.322982
0OS9LVX X 2020-03-14,38.842807
0OS9LVX X 2020-03-15,35.567693
0OS9LVX X 2020-03-16,39.540854
0OS9LVX X 2020-03-17,31.399356
0OS9LVX X 2020-03-18,41.005166
0OS9LVX X 2020-03-19,34.694503
0OS9LVX X 2020-03-20,27.318930
0OS9LVX X 2020-03-21,25.504305
0OS9LVX X 2020-03-22,33.223049
0OS9LVX X 2020-03-23,39.983246
0OS9LVX X 2020-03-24,46.757787
0OS9LVX X 2020-03-25,45.977119
0OS9LVX X 2020-03-26,31.457284
0OS9LVX X 2020-03-27,33.184112
0OS9LVX X 2020-03-28,42.637998
0OS9LVX X 2020-03-29,41.354306
0OS9LVX X 2020-03-30,51.545581
0OS9LVX X 2020-03-31,48.400913
0OS9LVX X 2020-04-01,50.544153
0OS9LVX X 2020-04-02,33.890978
0OS9LVX X 2020-04-03,41.832680
0OS9LVX X 2020-04-04,71.316496
0Q2LTOG X 2020-01-02,112.842380
0Q2LTOG X 2020-01-03,103.409945
0Q2LTOG X 2020-01-04,132.363161
0Q2LTOG X 2020-01-05,116.521552
0Q2LTOG X 2020-01-06,62.318468
0Q2LTOG X 2020-01-07,45.495766
0Q2LTOG X 2020-01-08,37.862529
0Q2LTOG X 2020-01-09,112.567114
0Q2LTOG X 2020-01-10,120.379107
0Q2LTOG X 2020-01-11,145.854917
0Q2LTOG X 2020-01-12,99.247804
0Q2LTOG X 2020-01-13,54.316459
0Q2LTOG X 2020-01-14,117.405251
0Q2LTOG X 2020-01-15,96.913365
0Q2LTOG X 2020-01-16,107.039083
0Q2LTOG X 2020-01-17,152.570399
0Q2LTOG X 2020-01-18,92.546899
0Q2LTOG X 2020-01-19,137.550694
0Q2LTOG X 2020-01-20,116.511646
0Q2LTOG X 2020-01-21,93.767497
0Q2LTOG X 2020-01-22,145.659280
0Q2LTOG X 2020-01-23,112.222607
0Q2LTOG X 2020-01-24,89.724066
0Q2LTOG X 2020-01-25,80.468819
0Q2LTOG X 2020-01-26,106.969396
0Q2LTOG X 2020-01-27,41.963062
0Q2LTOG X 2020-01-28,66.967246
0Q2LTOG X 2020-01-29,88.507731
0Q2LTOG X 2020-01-30,107.499516
0Q2LTOG X 2020-01-31,117.601829
0Q2LTOG X 2020-02-01,111.738857
0Q2LTOG X 2020-02-02,103.390381
0Q2LTOG X 2020-02-03,81.567307
0Q2LTOG X 2020-02-04,93.947976
0Q2LTOG X 2020-02-05,68.373345
0Q2LTOG X 2020-02-06,91.435172
